school,major,applied,admitted,enrolled,selectivity_rate,yield_rate,gpa,verbal,math,writing
Nursing Science,Nursing Science,1972,81,28,4.10%,34.60%,4.21,657,656,653
Pharmaceutical Sciences,Pharmaceutical Sciences,1251,595,172,47.60%,28.90%,4,564,615,569
Physical Sciences,Applied Physics,5,5,5,100.00%,100.00%,3.93,N/A,N/A,N/A
Physical Sciences,Chemistry,1867,887,133,47.50%,15.00%,3.99,566,622,566
Physical Sciences,Earth and Environmental Sciences,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Physical Sciences,Earth and Environmental Studies,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Physical Sciences,Earth System Science,258,100,12,38.80%,12.00%,4,566,563,554
Physical Sciences,Environmental Science,410,175,21,42.70%,12.00%,3.97,598,624,595
Physical Sciences,Mathematics,2181,1322,369,60.60%,27.90%,3.89,505,704,563
Physical Sciences,Physics,1005,499,68,49.70%,13.60%,3.9,551,709,585
Physical Sciences,Undeclared,1124,527,72,46.90%,13.70%,3.87,549,642,563
Public Health,Public Health Policy,212,77,10,36.30%,13.00%,3.93,549,561,545
Public Health,Public Health Sciences,1500,612,172,40.80%,28.10%,3.98,561,577,571
Social Ecology,"Criminology, Law and Society",1659,347,129,20.90%,37.20%,3.95,544,543,542
Social Ecology,Psychology and Social Behavior,1193,426,152,35.70%,35.70%,3.95,549,575,560
Social Ecology,Social Ecology,72,27,5,37.50%,18.50%,4.05,519,529,507
Social Ecology,Undeclared,84,28,5,33.30%,17.90%,3.9,N/A,N/A,N/A
Social Ecology,Urban Studies,108,46,6,42.60%,13.00%,3.73,N/A,N/A,N/A
Social Sciences,Anthropology,293,100,12,34.10%,12.00%,3.98,601,573,581
Social Sciences,Business Economics,1483,905,407,61.00%,45.00%,3.88,525,667,558
Social Sciences,Chicano/Latino Studies,93,22,0,23.70%,0.00%,N/A,N/A,N/A,N/A
Social Sciences,Cognitive Sciences,436,241,39,55.30%,16.20%,3.98,590,595,598
Social Sciences,Economics,1538,802,127,52.10%,15.80%,3.92,519,671,563
Social Sciences,International Studies,647,294,42,45.40%,14.30%,3.88,563,587,563
Social Sciences,Linguistics,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Social Sciences,Political Science,1448,574,89,39.60%,15.50%,3.92,590,570,576
Social Sciences,Psychology ,2754,857,133,31.10%,15.50%,3.9,561,607,575
Social Sciences,Quantitative Economics,102,70,26,68.60%,37.10%,3.9,512,668,551
Social Sciences,Social Policy and Public Service,250,88,12,35.20%,13.60%,4,549,541,556
Social Sciences,Social Science,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Social Sciences,Sociology,1151,339,45,29.50%,13.30%,3.9,547,571,551
Social Sciences,Undeclared,1262,468,18,37.10%,3.80%,3.9,520,670,574
Undergrad Education,Undeclared,10734,5326,1115,49.60%,20.90%,3.9,541,605,548
